Item,Part Number,Description,Quantity (PART),LINK ,Notes
1,WS2812B-7-Ring,LED Ring,6,https://www.aliexpress.us/item/2251832636126982.html?spm=a2g0o.productlist.main.24.3d34TdCkTdCkKZ&algo_pvid=19189dad-2462-4155-b098-7daf7df19518&algo_exp_id=19189dad-2462-4155-b098-7daf7df19518-21&pdp_ext_f=%7B%22order%22%3A%22322%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.07%210.99%21%21%211.07%210.99%21%402103128917866695306685199e1042%2164966380750%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792324&curPageLogUid=MOMcv5zLODpB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32822441734%7C_p_origin_prod%3A,7 Pixel Each Ring. 1 Extra
2,A000005,Arduino Nano Microcontroller,3,https://www.aliexpress.us/item/3256809685516678.html?spm=a2g0o.productlist.main.19.92ac6f37MhazYz&algo_pvid=e5ee2dc1-7354-4b36-a26c-887b1e7f78f6&algo_exp_id=e5ee2dc1-7354-4b36-a26c-887b1e7f78f6-16&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.83%210.99%21%21%2186.10%216.63%21%402103129017866695816682619e0eb8%2112000050454330784%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=5CaHrG3ZhrdQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009871831430%7C_p_origin_prod%3A,"Don't need arduino brand, will take clones."
2,59065-1-T-02-A,Reed Switch,5,https://www.aliexpress.us/item/3256807612412718.html?spm=a2g0o.productlist.main.3.50ee38e6vWJmGN&algo_pvid=daa8b16a-4e40-4978-b68e-c2857b7a385c&algo_exp_id=daa8b16a-4e40-4978-b68e-c2857b7a385c-2&pdp_ext_f=%7B%22order%22%3A%22128%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.11%210.99%21%21%2174.55%216.60%21%402101c4ea17866696319715126e0d4c%2112000042239565068%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=VotUek0lJG1j&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007798727470%7C_p_origin_prod%3A,4 Extra - tend to Break
3,MG90D,Servo,3,https://www.aliexpress.us/item/3256806060485407.html?spm=a2g0o.productlist.main.1.347a1bd56Ue1wF&algo_pvid=5ba09212-5c05-4b84-b1f2-0e3735f75c36&algo_exp_id=5ba09212-5c05-4b84-b1f2-0e3735f75c36-0&pdp_ext_f=%7B%22order%22%3A%22590%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.90%210.99%21%21%2132.90%216.65%21%402101d9ef17866696763432045e0e30%2112000036753732141%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=KD4MjfsO18QV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006246800159%7C_p_origin_prod%3A,1 Extra
4,KY040,Rotary Encoder,3,https://www.aliexpress.us/item/3256812271134656.html?spm=a2g0o.productlist.main.9.7a082J2W2J2WMx&algo_pvid=cd9e2593-99d7-4575-a4b7-4ab92989b212&algo_exp_id=cd9e2593-99d7-4575-a4b7-4ab92989b212-8&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.64%210.99%21%21%2117.72%216.65%21%402101e81117866697031527996e0e11%2112000058428147880%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=7Kls8qCOYRya&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012457449408%7C_p_origin_prod%3A,2 Extras
5,7BB-27-4L0,Piezo Disk Sensor,4,https://www.aliexpress.us/item/3256805787073974.html?spm=a2g0o.productlist.main.1.2a1eh8gkh8gkmo&algo_pvid=293c5c04-86c8-4510-ab24-04bc60c1cdc2&algo_exp_id=293c5c04-86c8-4510-ab24-04bc60c1cdc2-0&pdp_ext_f=%7B%22order%22%3A%22144%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.80%210.99%21%21%211.80%210.99%21%402101d33417866698886735030e1018%2112000035120072903%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=UOmzm5xA3pMd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005973388726%7C_p_origin_prod%3A,2 Extra - tends to break
6,N/A,Dupont Wires,N/P,https://www.aliexpress.us/item/2255800708356888.html?spm=a2g0o.productlist.main.10.6232YJZyYJZyZc&algo_pvid=518c91f8-07f8-461b-9b7e-b8033227115f&algo_exp_id=518c91f8-07f8-461b-9b7e-b8033227115f-9&pdp_ext_f=%7B%22order%22%3A%22783%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.69%210.99%21%21%211.69%210.99%21%402103292b17866699160284460e0e0c%2110000010462562378%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=Tg0RMk0T8E74&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000894671640%7C_p_origin_prod%3A,1 Spool - 25 ft
7,MB102,Breadboard,2,https://www.aliexpress.us/item/3256811972226710.html?spm=a2g0o.productlist.main.4.26c36225nVhlF9&aem_p4p_detail=2026081318123911302724423390400000241202&algo_pvid=c91b7ce5-b8f9-4668-bb44-570338f3f97b&algo_exp_id=c91b7ce5-b8f9-4668-bb44-570338f3f97b-3&pdp_ext_f=%7B%22order%22%3A%22457%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.27%210.99%21%21%218.49%216.61%21%4021030f4a17866699597356049e1088%2112000057666298504%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=qMl6iwuxHHIW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012158541462%7C_p_origin_prod%3A&search_p4p_id=2026081318123911302724423390400000241202_1,1 Extra. Need 830 specifically.
8,D4X2MM,Magnet. 4 * 2 mm,5,https://www.aliexpress.us/item/3256809888929805.html?spm=a2g0o.productlist.main.1.1200qGoiqGoiqm&algo_pvid=3378b3dc-0a8b-430a-baa7-3baee14bec60&algo_exp_id=3378b3dc-0a8b-430a-baa7-3baee14bec60-0&pdp_ext_f=%7B%22order%22%3A%226978%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.51%210.99%21%21%2143.71%216.68%21%402103138417866700171032238e0df6%2112000051245745106%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=4x1vSrh0W456&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010075244557%7C_p_origin_prod%3A,4 Extra - easy to lose
9,BH3411,4X AA Battery Holder,2,https://www.aliexpress.us/item/3256810355028087.html?spm=a2g0o.productlist.main.35.4cb4XAYQXAYQK8&algo_pvid=91b0aaad-bc3a-4fc5-8822-9ddbcfa00992&algo_exp_id=91b0aaad-bc3a-4fc5-8822-9ddbcfa00992-32&pdp_ext_f=%7B%22order%22%3A%22155%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.62%210.99%21%21%2131.04%216.64%21%402101e75417866701249191968e1049%2112000052758001732%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=wcHlTBbD8BrC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010541342839%7C_p_origin_prod%3A,1 Extra. 4X specifically.
