Item,Part Number,Description,Quantity (PART),LINK ,Notes,Prices,Total
1,WS2812B-7-Ring,LED Ring,5,https://www.amazon.com/WS2812B-Integrated-Raspberry-Polarity-Protection/dp/B0FGNKC7QQ/ref=sims_dp_d_dex_ai_rank_model_1_d_v1_d_sccl_1_1/145-0517696-5525333?pd_rd_w=9EXfG&content-id=amzn1.sym.bb4a0aac-c2b4-4b4b-a0c8-9aa89b28dce3&pf_rd_p=bb4a0aac-c2b4-4b4b-a0c8-9aa89b28dce3&pf_rd_r=71CQHGZKBDR9JQQ876D7&pd_rd_wg=1py1V&pd_rd_r=7e4197a7-b85d-49fd-9ed3-b5807813ffa6&pd_rd_i=B0FGNKC7QQ&psc=1,7 Pixel Each Ring.,$12,$83.50
2,A000005,Arduino Nano Microcontroller,1,https://www.aliexpress.us/item/3256809685516678.html?spm=a2g0o.productlist.main.19.92ac6f37MhazYz&algo_pvid=e5ee2dc1-7354-4b36-a26c-887b1e7f78f6&algo_exp_id=e5ee2dc1-7354-4b36-a26c-887b1e7f78f6-16&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.83%210.99%21%21%2186.10%216.63%21%402103129017866695816682619e0eb8%2112000050454330784%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=5CaHrG3ZhrdQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009871831430%7C_p_origin_prod%3A, ,$13,
2,59065-1-T-02-A,Reed Switch,10,https://www.aliexpress.us/item/3256803956030642.html?spm=a2g0o.productlist.main.23.432c38e6aupfvi&algo_pvid=71072740-72fd-43c1-ba9f-84fb100651ce&algo_exp_id=71072740-72fd-43c1-ba9f-84fb100651ce-22&pdp_ext_f=%7B%22order%22%3A%2295%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.14%210.99%21%21%212.14%210.99%21%402103094f17867523063607833e0d42%2112000028172932735%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=Fa0oPe1vlgEd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004142345394%7C_p_origin_prod%3A, ,$2,
3,MG90D,Servo,5,https://www.aliexpress.us/item/2255800716939287.html?spm=a2g0o.productlist.main.2.661b7a1c28feV2&algo_pvid=1e7b4cba-2dc0-44a3-b064-ce413dd01b12&algo_exp_id=1e7b4cba-2dc0-44a3-b064-ce413dd01b12-1&pdp_ext_f=%7B%22order%22%3A%22994%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.84%210.99%21%21%217.84%210.99%21%402103094f17867503538596103e107a%2112000024660755297%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=Z3gKo8SFpI16&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000903254039%7C_p_origin_prod%3A,4 pieces option.,$6,
4,KY040,Rotary Encoder,3,https://www.aliexpress.us/item/3256812271134656.html?spm=a2g0o.productlist.main.9.7a082J2W2J2WMx&algo_pvid=cd9e2593-99d7-4575-a4b7-4ab92989b212&algo_exp_id=cd9e2593-99d7-4575-a4b7-4ab92989b212-8&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.64%210.99%21%21%2117.72%216.65%21%402101e81117866697031527996e0e11%2112000058428147880%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=7Kls8qCOYRya&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012457449408%7C_p_origin_prod%3A, KY040 option.,$2.50,
5,7BB-27-4L0,Piezo Disk Sensor,5,https://www.aliexpress.us/item/3256805787073974.html?spm=a2g0o.productlist.main.1.2a1eh8gkh8gkmo&algo_pvid=293c5c04-86c8-4510-ab24-04bc60c1cdc2&algo_exp_id=293c5c04-86c8-4510-ab24-04bc60c1cdc2-0&pdp_ext_f=%7B%22order%22%3A%22144%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.80%210.99%21%21%211.80%210.99%21%402101d33417866698886735030e1018%2112000035120072903%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=UOmzm5xA3pMd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005973388726%7C_p_origin_prod%3A,15 mm option.,$2,
6,N/A,Dupont Wires,N/P,https://www.aliexpress.us/item/3256806568245944.html?spm=a2g0o.productlist.main.8.5b6260edWF9LMJ&aem_p4p_detail=20260814165029637364473530150000596838&algo_pvid=11fea629-e41c-4451-ac1e-672ff44dff37&algo_exp_id=11fea629-e41c-4451-ac1e-672ff44dff37-7&pdp_ext_f=%7B%22order%22%3A%221054%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.63%214.85%21%21%2137.73%2132.53%21%4021030cd817867514289537074e0c77%2112000038195584111%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=wJJyPuHxCR1f&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006754560696%7C_p_origin_prod%3A&search_p4p_id=20260814165029637364473530150000596838_2, 20 cm version.,$5.50,
7,MB102,Breadboard,1,https://www.aliexpress.us/item/3256811972226710.html?spm=a2g0o.productlist.main.4.26c36225nVhlF9&aem_p4p_detail=2026081318123911302724423390400000241202&algo_pvid=c91b7ce5-b8f9-4668-bb44-570338f3f97b&algo_exp_id=c91b7ce5-b8f9-4668-bb44-570338f3f97b-3&pdp_ext_f=%7B%22order%22%3A%22457%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.27%210.99%21%21%218.49%216.61%21%4021030f4a17866699597356049e1088%2112000057666298504%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=qMl6iwuxHHIW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012158541462%7C_p_origin_prod%3A&search_p4p_id=2026081318123911302724423390400000241202_1,Need single 830 specifically.,$1.50,
8,D4X2MM,Magnet. 4 * 2 mm,N/A,https://www.aliexpress.us/item/3256809888929805.html?spm=a2g0o.productlist.main.1.1200qGoiqGoiqm&algo_pvid=3378b3dc-0a8b-430a-baa7-3baee14bec60&algo_exp_id=3378b3dc-0a8b-430a-baa7-3baee14bec60-0&pdp_ext_f=%7B%22order%22%3A%226978%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.51%210.99%21%21%2143.71%216.68%21%402103138417866700171032238e0df6%2112000051245745106%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=4x1vSrh0W456&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010075244557%7C_p_origin_prod%3A, ,$6.50,
9,BH3411,4X AA Battery Holder,2,https://www.aliexpress.us/item/3256812462544992.html?spm=a2g0o.productlist.main.9.41afKZGxKZGx7s&algo_pvid=b752488a-f2e7-4480-b0f1-5ecac457f681&algo_exp_id=b752488a-f2e7-4480-b0f1-5ecac457f681-8&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.97%210.99%21%21%2133.33%216.61%21%4021032e4e17867517641126800e1093%2112000058976612828%21sea%21US%218031176192%21ABX%211%210%21n_tag%3A-29910%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=n0huZEXnUeKT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012648859744%7C_p_origin_prod%3A,4X specifically.,$5,
